Post ID,Intl.,Entry type,Campaign Areas,Communities,Tags,Campaigning organizations (private),date,Clean Date (Based on original hiddne column),Actors: Divesters /  Endorsers / Previously Complicit / Not Previously Complicit,growth,Headline,Summary,Case source(s),Link(s) to mainstream media coverage (national or international),City,Countries,World Regions,“Quote” ,Author of Quote ,Affiliation of author,Quote Source,Type of loss,Loss (in millions USD),Photo(s) + source link,Other Multimedia,Imp. Level of Case,Did this success bring about the end of the campaign?,,
229,RF,Success,General,Trade Union,-,-,01-05-2010,01-05-2010,Construction Forestry Mining and Energy Union (CFMEU),1,Construction Forestry Mining and Energy Union joins the BDS movement,Australia’s Construction Forestry Mining and Energy Union (CFMEU) joins the international boycott of Israel.,https://www.greenleft.org.au/node/44281,-,Sydney,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
251,RF,Success,General,Trade Union,Gaza,-,05-06-2010,05-06-2010,"*Australian Services Union, South Coast Labour Council (SCLC), Construction Forestry Mining Energy Union ",1,Australian unions endorse BDS ,"The New South Wales and Australian Capital Territory branches of the Australian Services Union join the South Coast Labour Council (SCLC) and the Construction Forestry Mining Energy Union in committing to the international boycott, divestment and sanctions (BDS) campaign against Israel in the wake of Israel’s deadly attack on the Gaza aid flotilla.",https://www.greenleft.org.au/node/44346,-,Victoria,Australia,East Asia and Pacific,A boycott of Israeli goods produced in the illegal settlements is a good way for the international community to send a strong message to the Israeli leadership that humanity will not turn a blind eye to the injustice inflicted on the Palestinian people.,Arthur Rorris ,SCLC secretary ,https://www.greenleft.org.au/node/44346,-,-,https://www.greenleft.org.au/sites/default/files/imagecache/article-image/gaza050610_088.jpg,-,3,0,,
252,RF,Success,General,Trade Union,Settlements,-,09-06-2010,09-06-2010,Australian Education Union (AEU),1,Australian Education Union calls for boycott,The union passes a motion supporting BDS targeting the occupation and illegal settlements.,https://auspalestine.files.wordpress.com/2010/04/aeu-federal-10-06-101.pdf,-,Melbourne,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
253,RF,Success,General,Trade Union,Settlements,-,09-06-2010,09-06-2010,Geelong Trades Hall Council,1,Geelong Trades Hall Council (Australia) endorses BDS,The motion calls for a suspension of military ties with Israel and a boycott of settlement goods.,https://auspalestine.files.wordpress.com/2010/06/geelong-trades-hall-council-09-06-10.pdf,-,Geelong,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,0,0,,
255,RF,Success,General,-,Governmental ,-,10-06-2010,10-06-2010,Newcastle Trades Hall Council ,3,Newcastle Trades Hall Council (Australia) endorses BDS,"The union's motion comes as a response to recent events which demonstrate Israel's disregard for human life and international law. Israel, they explain, needs to be subject to some of the same treatment it exercises over Palestinians, particularly in the way of sanctions.",https://auspalestine.files.wordpress.com/2010/04/newcastle-trades-hall-council-motion-10-06-10.pdf,-,Newscastle,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,0,0,,
273,RF,Success,General,Trade Union,-,-,17-06-2010,17-06-2010,Unions ACT,1,UnionsACT (Australia) motion backs BDS,"The union resolves to participate in boycotts and divestment ""under the banner of the international BDS movement until Israel abides by international law"". ",https://auspalestine.files.wordpress.com/2010/04/unions-act-motion-re-palestine-17-06-10.pdf,-,Sydney,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,2,0,,
274,RF,Success,General,Trade Union,-,-,17-06-2010,17-06-2010,Health & Community Services Union – Victoria,1,Australian Health & Community Services Union joins the BDS Movement,In solidarity with Palestinian unions Health & Community Services Union (HACSU) Victoria offers their full support to the global BDS campaign and urges Israel to abide by international law.,https://auspalestine.files.wordpress.com/2010/04/hacsu-vic-17-06-10.pdf,-,Sydney,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
295,RF,Success,General,Trade Union,-,-,20-07-2010,20-07-2010,Australian Services Union – Queensland C&A Branch,1,Australian Services Union calls on Israel to comply with international law,"The Central and Southern Queensland Branch of the Australian Services Union issues a call demanding that Israel abide by international law. To the union, this means withdrawing to its internationally-recognized 1967 borders, granting refugees the right of return, removing all settlements located in illegally occupied territories, taking down the Apartheid Wall, and, lastly, respecting the Palestinian peoples' right to self-determination. ",https://auspalestine.files.wordpress.com/2010/04/asu-ca-motion-palestine-20-7-10.pdf,-,Queensland,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
298,RF,Success,General,Trade Union,-,-,24-07-2010,24-07-2010,Queensland Teachers' Union,1,Queensland Teachers' Union votes to support BDS,"The union's motion resolves to ""work towards building national support for the campaign"" and gaining the support of other unions for the BDS campaign.",https://auspalestine.files.wordpress.com/2010/04/qtu-resolution-24-07-10.pdf,-,Queensland,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
307,RF,Success,General,-,Governmental,-,10-09-2010,10-09-2010,Victorian Trades Hall Council,3,Victorian Trades Hall Council (Australia) votes to back BDS,"The  Victorian Trades Hall Council determines to support the BDS campaign, and as a first step, to endorse and send representatives to the BDS Conference held in Melbourne on 29-31 October 2010.",https://auspalestine.files.wordpress.com/2010/04/vthc-resolution-10-09-2010.pdf,-,Victoria,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,0,0,,
317,RF,Success,General,Trade Union,-,-,17-10-2010,17-10-2010,*Australian Trade Unions,1,Five Australian unions join BDS Movement,"The Electrical Trades Union, the Australian Manufacturing Workers Union, the Construction Forestry Mining and Energy Union, the Queensland branch of the Rail Tram and Bus Union and the Finance Sector Union all pass a resolution supporting the international boycott, divestment and sanctions campaign against Israel.",http://www.alternativenews.org/english/index.php/features/economy-of-the-occupation/3000-five-australian-unions-support-bds-of-israel-.html,-,Sydney,Australia,East Asia and Pacific,-,-,-,-,-,-,http://www.eurojewcong.org/img/articles/638x389/8933.jpg,-,2,0,,
319,RF,Success,General,Trade Union,-,-,26-10-2010,26-10-2010,CEPU Communications Division Postal & Telecommunications Victorian Branch_,1,Communication Workers Union of Australia endorses BDS in show of solidarity with Palestinian unions,"The Postal & Telecommunications Victorian Branch of the Communication Workers Union of Australia (CEPU) calls on Israel to uphold international law, meaning the immediate dismantling of the Apartheid Wall and the cessation of settlement building on illegally occupied land. The union resolves to fully support the BDS campaign until Israel take actions necessary to bring it under compliance with international law.",https://auspalestine.files.wordpress.com/2010/11/cepu-comm-pt-vic1.pdf,-,Victoria,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
321,RF,Success,General,Faith Based,-,Kairos,09-11-2010,09-11-2010,Malaysia Council of Churches ,1,Malaysia Council of Churches endorses the Kairos BDS call,The Malaysia Council of Churches looks back to the role of the ecumenical movement in the fight against South African apartheid to ground their present decision to support Palestinian resistance against Israeli oppression.,http://www.kairospalestine.ps/sites/default/Documents/Letter%20of%20Solidarity%20-%20Palestinian%20Kairos%20Document.pdf,-,Selangor,Malaysia,East Asia and Pacific,"If the ecumenical movement managed to aid in the dismantling of the Apartheid regime in South Africa in the past, we are confident that churches working together will be able to dismantle the current oppression of the Palestinian people. ",-,-,-,-,-,-,-,3,0,,
324,RF,Success,General,Trade Union,-,-,17-11-2010,17-11-2010,Queensland Council of Unions,1,Queensland Council of Unions votes to support BDS,"Its motion backs non–violent resistance through the international boycott Divestment and
sanctions Campaign against Israel to bring about an end to the illegal occupation, including a consumer boycott of Israeli goods, a review of its investments, and a boycott of companies profiting from occupation.",https://auspalestine.files.wordpress.com/2010/11/qcu-palestine-17-11-10.pdf,-,Queensland,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,0,0,,
537,RF,Success,Divestment,Student Solidarity,-,Students for Palestine,10-03-2013,10-03-2013,La Trobe University ,1,Australian students union drops Sodastream competition,La Trobe University Student Union passes a motion supporting BDS. This year we discover that for orientation day the student union is running a competition in which the prize is a soda machine.,http://www.bdsmovement.net/2013/australian-student-university-drops-sodastream-competition-10782,-,Melbourne,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
540,LN ,Success,General,Student Solidarity,-,RMIT Students for Palestine ,20-03-2013,20-03-2013,Student activists at RMIT Univeristy ,1,RMIT Univeristy launches campaign agaisnt BAE and Elbit Systems ,"Student activists at RMIT Univeristy in Melbourne launched a campaign against the university's Aerospace Engineering Department, which provides research and development that helps Israel develop its militry power. The campagin calls on divestment from Elbit Systems and British Aerospace Engineering (BAE). ",http://stopthewall.org/join-campaign-divest-elbit,https://www.greenleft.org.au/node/53632,Melbourne ,Australia ,East Asia and Pacific,-,-,-,-,-,-,- ,-,1,0,,
560,RF,Success,"Academic Boycott,Divestment",Student Solidarity,-,Students for Justice in Palestine (SJP),09-05-2013,09-05-2013,Sydney University ,1,Sydney University students pass BDS motion,"The Student Representative Council at the University of Sydney passes a motion endorsing Associate Professor Jake Lynch's academic boycott of Israel, in response to attacks on Lynch for refusing to assist Dan Avnon, a visiting academic from Hebrew University in Israel.",http://bdsmovement.net/2013/sydney-university-student-representative-council-passes-bds-motion-10961,-,Sydney,Australia,East Asia and Pacific,"By continuing institutional links to Israeli high education, universities here risk unwittingly becoming indirectly complicit in violations of international laws and abuses of human rights - See more at: http://bdsmovement.net/2013/sydney-university-student-representative-council-passes-bds-motion-10961#sthash.jUMb7KA5.dpuf",Jake Lynch,director of Sydney University’s Centre for Peace and Conflict Studies - See more at: http://bdsmovement.net/2013/sydney-university-student-representative-council-passes-bds-motion-10961#sthash.jUMb7KA5.dpuf,http://bdsmovement.net/2013/sydney-university-student-representative-council-passes-bds-motion-10961,-,-,-,-,2,0,,
666,RF,Success,General,Trade Union,-,-,28-04-2014,28-04-2014,New South Wales Teachers Federation,1,Australian Palestine Advocacy Network Endorsed BDS at its Annual General Meeting and it is endorsed by the New South Wales Teachers Federation,"The Hon. Melissa Parke, Federal Member for Fremantle, and former Minister for International Development, delivers a courageous and articulate speech in support of the 2014 Walk for BDS petition and the BDS movement.",http://australiansforbds.org/successes/australian-support-for-bds/,-,Canberra,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
678,RF,Success,Academic Boycott,-,-,-,26-05-2014,26-05-2014,Australian court,3,Australian court challenge against academic boycott of Israel fails,"Jake Lynch, associate professor at University of Sydney, refuses fellowship application of Israeli academic linked to the Israeli arms industry.",https://electronicintifada.net/blogs/asa-winstanley/academic-boycott-israel-now-fireproof-australian-court-challenge-fails,-,Sydney,Australia,East Asia and Pacific,-,-,-,-,-,-,http://resources2.news.com.au/images/2012/12/07/1226532/467086-121208-jake-lynch.jpg,-,2,0,,
702,RF,Success,General,Trade Union,Gaza,-,19-07-2014,19-07-2014,Queensland Teachers Union,1,Queensland Teachers Union's Gaza statement reaffirms support for BDS,"The union reaffirms its ""commitment to boycotts divestments and sanctions against Israel until such time as it complies with International Law and Universal Principles of Human Rights"".",http://auspalestine.org/2014/07/19/qtu-statement-on-gaza/,-,Brisbane,Australia,East Asia and Pacific,THAT QTU State Council expresses dismay at the tragic loss of lives in the current conflict in Gaza and other Occupied Palestinian Territory and that 77% of those killed are civilians including many woman and children,-,-,http://auspalestine.org/2014/07/19/qtu-statement-on-gaza/,-,-,-,-,3,0,,
703,RF,Success,"Divestment,Cultural Boycott,Academic Boycott",Student Solidarity,-,-,21-07-2014,21-07-2014,Victorian College of the Arts ,1,Victorian College of the Arts students vote to boycott Israel,"The Victorian College of the Arts Student Association (VCASA), which represents over 1,200 students, votes unanimously for the motion to joing the BDS movement, in the midst of Israel’s bombing of Gaza.",http://www.pacbi.org/etemplate.php?id=2478,-,Brisbane,Australia,East Asia and Pacific,It is vital that artists and arts workers unite to fight against oppression. Using a boycott has been one of the most effective tactics for artists because it allows them to see their role in society more clearly and to use their work to effect change.,Van Rudd ,VCA Artist/Activist,http://www.pacbi.org/etemplate.php?id=2478,-,-,-,-,2,0,,
712,RF,Success,Sanctions,-,-,-,29-07-2014,29-07-2014,South Korean civil society,1,South Korean civil society demands an end to military cooperation with Israel,The move comes after years of heavy arms trading between the two nations.,http://bdsmovement.net/2014/korean-civil-society-calls-for-end-to-military-cooperation-with-israel-12473,-,Seoul,South Korea,East Asia and Pacific,Is would be a complete mistake to treat arms trade as if it were no different to ordinary commercial trade. Buying and selling weapons to Israel amounts to a strong political endorsement of the latter’s occupation of Palestine. South Korea is no longer a poor country; nor is it free from the responsibility to promote and sustain global peace. - See more at: http://bdsmovement.net/2014/korean-civil-society-calls-for-end-to-military-cooperation-with-israel-12473#sthash.2a7JncX5.dpuf,-,Signatories of Demand,http://bdsmovement.net/2014/korean-civil-society-calls-for-end-to-military-cooperation-with-israel-12473,-,-,https://intifadakorea.files.wordpress.com/2011/09/yubi-art-1.png?w=240&h=238,-,2,0,,
724,RF,Success,Cultural Boycott,-,Personality,-,05-08-2014,05-08-2014,Park Chan-wook,2,South Korean director Park Chan-wook among 100 public figures to call for sanctions,"The director of ""Oldboy"", ""Stoker"", and ""Joint Security Area"" are joined by fellow director Ryoo Seung-wan (""The Berlin File"", ""The Unjust"") and 100 public figures including academics, legal experts and religious figures.",http://www.hollywoodreporter.com/news/korean-filmmakers-sign-gaza-petition-723383,-,Seoul,South Korea,East Asia and Pacific,-,-,-,-,-,-,-,-,2,0,,
753,RF,Success,Academic Boycott,-,Personality,-,09-10-2014,09-10-2014,Marcelo Svirsky ,2,"Academic Marcelo Svirsky starts his ""walk for BDS""","The Jewish-Israeli academic Dr. Marcelo Svirsky set off on an ""epic walk"" for BDS.",http://mondoweiss.net/2014/10/marcelo-svirskys-palestine,-,Sydney,Australia,East Asia and Pacific,-,-,-,-,-,-,http://mondoweiss.net/wp-content/uploads/2014/10/10610733_10152789091643417_3656342277310270317_n.jpg,-,2,0,,
755,RF,Success,General,Trade Union,-,-,14-10-2014,14-10-2014,Australian Union (ASU) Victorian Private Sector Branch,1,ASU Victorian Private Sector Branch,The Australian Unionists Supporting Palestine Victorian and Tasmanian Branches pass a motion supporting BDS and condemning Israel's 2014 assault on Gaza.,http://auspalestine.org/2014/10/19/asu-vic-tas-executive-statement-on-gaza/,-,Melbourne,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
,LN,Success,Academic boycot t,- ,"Faculty, Personality ",-,17-09-2016,17-09-2016,Ghassan Hage,2,Academic Ghassan Hage refuses keynote in Israel,"Ghassan Hage, a Professor of Anthropology and Social Theory at the University of Melbourne, Australia, declined the invitation to keynote the annual meeting of the Israeli Anthropology Association. He explains that he is more interested and concerned about the struggle of the Palestinian people to free themselves of colonialism and not the struggle of Israeli anthropologists to make their society more open minded and receptive.  ",https://bdsmovement.net/news/academic-ghassan-hage-refuses-keynote-israel,- ,Melbourne ,Australia ,East Asia and Pacific,"So to me, the beginning of any decolonial anthropology is to be anti-politicidal. It has to be concerned with how to stop this horrendous violence and how to give presence and political and social power to the colonised. It is not about making the anthropologist of the colonising society more liberal and open minded and capable of confronting difference. This I feel is all what me presenting a keynote for your organisation would achieve",Ghassan Hage ,Academic ,https://bdsmovement.net/news/academic-ghassan-hage-refuses-keynote-israel,- ,- ,- ,- ,2,0,,
109,RF,Success,"Divestment,Academic Boycott,Cultural Boycott",Student Solidarity,-,-,18-12-2008,18-12-2008,University of Western,1,"University of Western Sydney students call for divestment, academic and cultural boycott",The University of Western Sydney’s Student Association (UWSSA) decides to formally affiliate to the academic and cultural boycott of Israel sent by PACBI.,https://electronicintifada.net/content/australian-university-student-association-boycott-israeli-institutions/884,-,Sydney,Australia,East Asia and Pacific ,-,-,-,-,-,-,-,-,3,0,,
100,LN,Success,General,- ,Governmental ,Towards a Just Peace in Palestine,03-11-2008,03-11-2008,Palestine solidarity activists ,1,"A boycott campaign targetting Veolia is launched in Bilbao, Spain ","Palestinian, Israeli and international activists alike came together in front of the city hall in Bilbao to protest the recent decision of the council to award a bus contract to Veolia. This is the first instance in Spain that a nonviolent direct action protesting the granting of contracts by Euroean public institutions to companies that collaborate with the Israeli colonization of Palestinian land. ",https://bdsmovement.net/2008/bilbao-the-basque-country-and-spain-join-the-palestinian-campaign-for-boycott-divestment-and-sanctions-targeting-veolia-212,-,Bilbao,Spain ,Europe and Central Asia,"the Bilbao Initiative created a strong space and platform in which Palestinians, anti-colonial Israelis and internationals could strategize together for effective and coordinated work for a just peace in the region",Sergio Yahni,Program Director of the Alternative Information Center,https://bdsmovement.net/2008/bilbao-the-basque-country-and-spain-join-the-palestinian-campaign-for-boycott-divestment-and-sanctions-targeting-veolia-212,-,-,-,-,2,0,,
1007,LN,Success,General,-,-,- ,18-05-2016,18-05-2016,*358 European human rights organizations ,1,"358 European human rights organisations, church groups, trade unions and political parties call on the EU to support their right to boycott","More than 300 human rights and aid organizations, church groups, trade unions and political parties from across Europe have signed a petition to the President of the European Commission and the Director General of the DG Justice and Consumers of the EC. They called on them to uphold its legal obligations and hold Israel responsible for its violations of international law as well as to protect the right of individuals and institutions to participate in the BDS movement.  ",http://www.eccpalestine.org/352-european-human-rights-organisations-church-group-trade-unions-and-political-parties-call-on-the-eu-to-support-their-right-to-bds/,-,-,Europe ,Europe and Central Asia,Therefore we call on you to introduce the human rights guidelines guaranteeing freedom of speech and right to boycott and to use all other means you have in your disposal to support European citizens in their struggle to uphold basic human rights,-,Petition ,http://www.eccpalestine.org/wp-content/uploads/2016/05/endorsements-right2BDS.doc-28.pdf,-,-,http://www.eccpalestine.org/wp-content/uploads/2016/05/eu.jpg,-,1,0,,
101,RF,Success,General,-,Settlements,Association France Palestine Solidarite (AFPS),20-11-2008,20-11-2008,Court in Nanterre,3,Veolia and Alstom taken to court in France,"Association France Palestine Solidarite (AFPS),  with the PLO, takes Veolia Transport and Alstom to court, invoking French civil code and a court in Nanterre rejects the two companies claims that it had no jurisdiction in the case and reaffirms the illegality of Israeli colonies in East Jerusalem.",https://electronicintifada.net/content/plo-takes-veolia-transport-and-alstom-court-france/7219,https://business-humanrights.org/en/veolia-alstom-lawsuit-re-jerusalem-rail-project,Nanterre,France,Europe and Central Asia,-,-,-,-,-,-,-,-,1,0,,
1013,LN ,Success,General,- ,Governmental ,- ,25-05-2016,25-05-2016,Dutch government ,3,"BDS is free speech, says Dutch government","At a time when governments in Europe and North America are pushing for anti-BDS legislature, it is pleasing to see that the Dutch government affirms BDS as a form of free speech, a universal right. The Dutch government follows the Swedish example, who had previously been the only governmen in Europe who recognized BDS as a civil society movement. ",https://electronicintifada.net/blogs/michael-deas/bds-free-speech-says-dutch-government?utm_content=bufferc4c02&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,https://www.rt.com/news/344629-netherlands-movement-boycott-israel/,Amsterdam ,Netherlands ,Europe and Central Asia,"Statements or meetings concerning BDS are protected by freedom of expression and freedom of assembly, as enshrined in the Dutch Constitution and the European Convention on Human Rights", Bert Koenders,Dutch Foreign Minister ,https://www.rt.com/news/344629-netherlands-movement-boycott-israel/,-,-,-,-,2,0,,
1014,LN ,Success,General,- ,Governmental ,- ,28-05-2016,28-05-2016,Irish government ,3,Ireland joins Sweden and Netherlands in defending BDS ,"While making it clear that the Irish govenrment does not support BDS against Israel, the Irish parliament issued a statement defending BDS as a civil right and a legitimate means to protest against Israel's actions. The Irish foreign minister, Charles Flanagan, also expressed his deep concern and disapproval of Omar Barghouti's recent travel ban. ",https://electronicintifada.net/content/ireland-latest-eu-state-defend-bds/16866,-,Dublin ,Ireland ,Europe and Central Asia,I do not agree with attempts to demonise those who advocate this [BDS] policy - See more at: http://mondoweiss.net/2016/05/governments-sweden-speaking/#sthash.wXhibQAs.dpuf,Charles Flanagan ,Irish Foreign Minister ,http://mondoweiss.net/2016/05/governments-sweden-speaking/,-,-,-,-,2,0,,
1015,LN ,Success,General,-,Governmental ,Support Committee for the BDS Accused of Toulouse,31-05-2016,31-05-2016,Toulouse Mayor's Office ,3,French court overturns “illegal” ban on BDS event,The mayor's office of Toulouse had initially banned a BDS gathering scheduled for the 31st of May. However the Toulouse administrative court overturned the decision and the meeting planned by the Support Committee for the BDS Accused of Toulouse went ahead as planned. ,https://electronicintifada.net/blogs/ali-abunimah/french-court-overturns-illegal-ban-bds-event,-,Toulouse ,France ,Europe and Central Asia,[The ban was] a grave and manifestly illegal infringement of the fundamental freedom of assembly.,- ,Court statement ,https://electronicintifada.net/blogs/ali-abunimah/french-court-overturns-illegal-ban-bds-event,-,-,https://www.facebook.com/soutieninculpesBDStoulousains/photos/pb.906976572691602.-2207520000.1464726127./1027176280671630/?type=1&theater,-,2,0,,
