datetime,discharge,gauge_height,water_velocity
1/28/09,476343.75,9.21875,2.09375
1/29/09,443750,9,2
1/30/09,416104.1667,8.322916667,2
1/31/09,399697.9167,8,2
2/1/09,368552.0833,8,1.90625
2/2/09,385072.9167,8.208333333,2
2/3/09,381343.75,8.208333333,2
2/4/09,379020.8333,8.010416667,2
2/5/09,363072.9167,7.697916667,1.802083333
2/6/09,360812.5,8.0625,1.822916667
2/7/09,367583.3333,8.364583333,1.947916667
2/8/09,395666.6667,8.552083333,2
2/9/09,411281.25,9.15625,2
2/10/09,435104.1667,10,2
2/11/09,459062.5,10,2.010416667
2/12/09,450135.4167,9.791666667,2
2/13/09,440000,9.302083333,2
2/14/09,453364.5833,9.34375,2
2/15/09,464583.3333,9.520833333,2.010416667
2/16/09,473177.0833,9.541666667,2.020833333
2/17/09,462281.25,9.552083333,2
2/18/09,485322.9167,9.739583333,2.041666667
2/19/09,524614.5833,9.958333333,2.6875
2/20/09,519072.9167,9.989583333,2.447916667
2/21/09,516677.0833,10.14583333,2.3125
2/22/09,560305.2632,10.37894737,2.968421053
2/23/09,561031.25,10.90625,2.958333333
2/24/09,557937.5,11,2.979166667
2/25/09,559875,11,3
2/26/09,558156.25,11,3
2/27/09,572864.5833,11,3
2/28/09,614041.6667,11,3
3/1/09,630083.3333,11,3
3/2/09,582468.75,10.77083333,2.989583333
3/3/09,551822.9167,10.59375,2.854166667
3/4/09,519698.9247,10.46236559,2.430107527
3/5/09,496437.5,10.34375,2.125
3/6/09,490177.0833,10.09375,2.197916667
3/7/09,478395.8333,10.11458333,2.010416667
3/8/09,493635.4167,10.05208333,2.072916667
3/9/09,486177.0833,10.01041667,2.020833333
3/10/09,483468.75,10,2.03125
3/11/09,481604.1667,10,2.010416667
3/12/09,478802.0833,10,2.03125
3/13/09,468218.75,10,2.010416667
3/14/09,467250,10,2.020833333
3/15/09,480375,10,2.020833333
3/16/09,483468.75,10.04166667,2.03125
3/17/09,488635.4167,10.21875,2.135416667
3/18/09,493281.25,10.39583333,2.125
3/19/09,513927.0833,10.46875,2.395833333
3/20/09,534114.5833,10.65625,2.729166667
3/21/09,525916.6667,11,2.46875
3/22/09,531072.9167,11,2.395833333
3/23/09,544364.5833,11.14583333,2.760416667
3/24/09,555083.3333,12,2.958333333
3/25/09,577375,12,3
3/26/09,569333.3333,12.02083333,2.916666667
3/27/09,600385.4167,12.98958333,2.9375
3/28/09,705416.6667,13.21875,3.333333333
3/29/09,705875,13,3.260416667
3/30/09,665281.25,13,3
3/31/09,683833.3333,13,3.020833333
4/1/09,687895.8333,13.25,3.145833333
4/2/09,679916.6667,13.42708333,3.052083333
4/3/09,685781.25,13,3.052083333
4/4/09,650687.5,13,3
4/5/09,678302.0833,13,3.010416667
4/6/09,726281.25,13,3.416666667
4/7/09,710125,13,3.083333333
4/8/09,687250,13.01041667,3.010416667
4/9/09,682208.3333,13.4375,3
4/10/09,696979.1667,13.84375,3.020833333
4/11/09,722666.6667,13.6875,3.260416667
4/12/09,687791.6667,13.8125,3.03125
4/13/09,747656.25,14,3.520833333
4/14/09,776489.5833,14,3.864583333
4/15/09,733666.6667,14,3.3125
4/16/09,719572.9167,14,3.145833333
4/17/09,706593.75,14,3.114583333
4/18/09,721187.5,14,3.177083333
4/19/09,755145.8333,14,3.53125
4/20/09,784979.1667,14,3.916666667
4/21/09,767687.5,14,3.75
4/22/09,741000,14,3.510416667
4/23/09,761812.5,14,3.739583333
4/24/09,746635.4167,14,3.552083333
4/25/09,744989.5833,14,3.572916667
4/26/09,724864.5833,14,3.354166667
4/27/09,725822.9167,13.98958333,3.28125
4/28/09,734822.9167,14,3.40625
4/29/09,732260.4167,13.98958333,3.364583333
4/30/09,717760.4167,14,3.28125
5/1/09,724302.0833,13.98958333,3.322916667
5/2/09,709135.4167,14,3.125
5/3/09,707093.75,14,3.03125
5/4/09,721166.6667,14,3.1875
5/5/09,714083.3333,13.98958333,3.125
5/6/09,713718.75,13.98958333,3.125
5/7/09,733416.6667,13.97916667,3.302083333
5/8/09,748239.5833,14,3.395833333
5/9/09,771625,14,3.864583333
5/10/09,799947.9167,14,3.979166667
5/11/09,810833.3333,14.27083333,4
5/12/09,841458.3333,14.58333333,4
5/13/09,849020.8333,14.76041667,4
5/14/09,875208.3333,15,4.020833333
5/15/09,888010.4167,15,4.010416667
5/16/09,932239.5833,15.27083333,4.270833333
5/17/09,986489.5833,15.61458333,4.729166667
5/18/09,1014000,16,4.979166667
5/19/09,1013416.667,16,4.927083333
5/20/09,1016260.417,16,4.885416667
5/21/09,1035145.833,16.5625,4.958333333
5/22/09,1041375,16.90625,4.9375
5/23/09,1087854.167,17,5
5/24/09,1044062.5,17,4.989583333
5/25/09,1066229.167,16.98958333,5
5/26/09,1061343.75,17,5
5/27/09,1044739.583,17,4.989583333
5/28/09,1070812.5,17,5.010416667
5/29/09,1123020.833,17,5.125
5/30/09,1087083.333,17,5.041666667
5/31/09,1071260.417,17,5
6/1/09,1062812.5,17,5
6/2/09,1063333.333,17,5
6/3/09,1060208.333,17,5
6/4/09,1089166.667,17,5.041666667
6/5/09,1100947.917,17,5.041666667
6/6/09,1010468.75,16.88541667,4.885416667
6/7/09,992229.1667,16.54166667,4.78125
6/8/09,981072.9167,16.22916667,4.645833333
6/9/09,960302.0833,16,4.458333333
6/10/09,934416.6667,16,4.229166667
6/11/09,918957.8947,16,4.189473684
6/12/09,888718.75,15.34375,4.020833333
6/13/09,854937.5,15,4
6/14/09,849468.75,15,4
6/15/09,818375,15,3.989583333
6/16/09,789802.0833,14.60416667,3.895833333
6/17/09,744156.25,14,3.427083333
6/18/09,720281.25,14,3.1875
6/19/09,700583.3333,13.98958333,3
6/20/09,681208.3333,13.80208333,3.010416667
6/21/09,672958.3333,13.57291667,3.010416667
6/22/09,664427.0833,13.5,3
6/23/09,663739.5833,13.4375,3
6/24/09,660343.75,13.375,3.010416667
6/25/09,640218.75,13.36458333,3
6/26/09,643166.6667,13.38541667,3
6/27/09,638541.6667,13.01041667,3
6/28/09,638187.5,13,3
6/29/09,649697.9167,13,3
6/30/09,636252.6316,13,3
7/1/09,633208.3333,13,3
7/2/09,637218.75,13,3
7/3/09,630958.3333,12.97916667,3
7/4/09,616177.0833,12.80208333,3
7/5/09,605854.1667,12.65625,3
7/6/09,593885.4167,12.25,3
7/7/09,579260.4167,12,2.958333333
7/8/09,551541.6667,11.63541667,2.8125
7/9/09,527885.4167,11,2.510416667
7/10/09,503364.5833,10.77083333,2.125
7/11/09,486135.4167,10,2.041666667
7/12/09,473208.3333,9.96875,2.03125
7/13/09,482791.6667,9.03125,2.135416667
7/14/09,466645.8333,9.020833333,2.052083333
7/15/09,452583.3333,9,2.052083333
7/16/09,438406.25,8.989583333,2.010416667
7/17/09,434281.25,8.71875,2
7/18/09,415500,8.625,2
7/19/09,397197.9167,8.604166667,1.989583333
7/20/09,383833.3333,8.583333333,1.979166667
7/21/09,377593.75,8.59375,1.791666667
7/22/09,383302.0833,8.552083333,1.989583333
7/23/09,393791.6667,8.46875,1.979166667
7/24/09,390135.4167,8.552083333,1.989583333
7/25/09,384697.9167,8.5625,1.989583333
7/26/09,408468.75,8.8125,2
7/27/09,396520.8333,8.489583333,2
7/28/09,395270.8333,8.53125,2
7/29/09,393312.5,8.572916667,1.989583333
7/30/09,386052.0833,8.552083333,1.989583333
7/31/09,395645.8333,8.5625,1.979166667
8/1/09,385656.25,8.583333333,1.947916667
8/2/09,402802.0833,8.666666667,2
8/3/09,402343.75,8.78125,2
8/4/09,413010.4167,8.927083333,2
8/5/09,417666.6667,9,1.989583333
8/6/09,444760.4167,9,2.020833333
8/7/09,443802.0833,9,2
8/8/09,457291.6667,9.072916667,2
8/9/09,455947.9167,9.375,2.010416667
8/10/09,473239.5833,9.979166667,2.03125
8/11/09,481635.4167,9.989583333,2.09375
8/12/09,495437.5,9.854166667,2.125
8/13/09,478145.8333,9.71875,2
8/14/09,474750,9.666666667,2.03125
8/15/09,470510.4167,9.8125,2.020833333
8/16/09,455552.0833,9.791666667,2
8/17/09,447010.4167,9.75,2
8/18/09,425479.1667,9.541666667,2
8/19/09,408197.9167,9.395833333,2
8/20/09,389093.75,9.3125,1.96875
8/21/09,373604.1667,9,1.875
8/22/09,362708.3333,9,1.9375
8/23/09,352510.4167,8.697916667,1.8125
8/24/09,348833.3333,8.541666667,1.75
8/25/09,338750,8.510416667,1.520833333
8/26/09,337166.6667,8.447916667,1.520833333
8/27/09,325406.25,8.625,1.270833333
8/28/09,318489.5833,8.604166667,1.25
8/29/09,318166.6667,8.635416667,1.3125
8/30/09,330562.5,8.5625,1.416666667
8/31/09,333093.75,8.552083333,1.385416667
9/1/09,336687.5,8.489583333,1.4375
9/4/09,309322.9167,9,1.114583333
9/5/09,299218.75,9,1.010416667
9/6/09,298343.75,8.8125,1.041666667
9/7/09,286589.4737,8.347368421,1
9/8/09,284364.5833,8.416666667,1
9/9/09,302031.25,8.510416667,1.020833333
9/10/09,297250,8.604166667,1.020833333
9/11/09,304708.3333,8.770833333,1.166666667
9/12/09,309885.4167,9.270833333,1.291666667
9/13/09,315437.5,9.114583333,1.25
9/14/09,312729.1667,9.166666667,1.364583333
9/15/09,312385.4167,9.041666667,1.291666667
9/16/09,294635.4167,8.864583333,1.083333333
9/17/09,306177.0833,8.958333333,1.145833333
9/18/09,307854.1667,9,1
9/19/09,307927.0833,9,1.052083333
9/20/09,316781.25,8.927083333,1.125
9/21/09,328489.5833,8.791666667,1.3125
9/22/09,343500,9,1.59375
9/23/09,355145.8333,9.270833333,1.739583333
9/24/09,362500,9.375,1.802083333
9/25/09,375000,9.427083333,1.854166667
9/26/09,379062.5,9.427083333,1.895833333
9/27/09,385927.0833,9.364583333,1.947916667
9/28/09,422927.0833,9.40625,2.010416667
9/29/09,413135.4167,9.395833333,2
9/30/09,415645.8333,9.447916667,2
10/1/09,421968.75,9.53125,2
10/2/09,425364.5833,10,2
10/3/09,416947.9167,9.729166667,2
10/4/09,412812.5,10,2
10/5/09,424864.5833,9.802083333,2
10/6/09,433625,9.833333333,2
10/7/09,461562.5,10,2
10/8/09,471666.6667,10,2
10/9/09,487927.0833,10.26041667,2.177083333
10/10/09,512583.3333,10,2.46875
10/11/09,499437.5,10.16666667,2.260416667
10/12/09,486625,10,2.145833333
10/13/09,484927.0833,10,2.052083333
10/14/09,487989.5833,10,2.083333333
10/15/09,514385.4167,10.53125,2.375
10/16/09,594458.3333,11.02083333,2.979166667
10/17/09,643052.0833,11.47916667,3
10/18/09,684312.5,12.01041667,3.177083333
10/19/09,720510.4167,12.58333333,3.489583333
10/20/09,761250,13.0625,3.822916667
10/21/09,771416.6667,13.875,3.927083333
10/22/09,770000,14.0625,3.90625
10/23/09,837625,14.32291667,3.989583333
10/24/09,819239.5833,14,3.989583333
10/25/09,775718.75,14,3.916666667
10/26/09,760677.0833,14,3.864583333
10/27/09,754270.8333,14,3.479166667
10/28/09,734541.6667,14,3.28125
10/29/09,709510.4167,14,3.010416667
10/30/09,722854.1667,14,3.260416667
10/31/09,760729.1667,14,3.770833333
11/1/09,750750,14,3.5625
11/2/09,754812.5,14,3.53125
11/3/09,779989.5833,14.125,3.71875
11/4/09,806375,14.44791667,3.958333333
11/5/09,819187.5,14.75,3.9375
11/6/09,841302.0833,14.97916667,3.958333333
11/7/09,870583.3333,15,4.020833333
11/8/09,882854.1667,15.03125,4.041666667
11/9/09,872208.3333,16.44791667,4
11/10/09,1028437.5,16.47916667,4.875
11/11/09,1035020.833,15.97916667,5
11/12/09,1001645.833,15.77083333,4.760416667
11/13/09,934927.0833,15.54166667,4.25
11/14/09,940843.75,15.45833333,4.3125
11/15/09,946520.8333,15.40625,4.364583333
11/16/09,924541.6667,15.3125,4.229166667
11/18/09,925479.1667,15.22916667,4.416666667
11/19/09,888093.75,15.01041667,4.125
11/20/09,889145.8333,15,4.072916667
11/21/09,864177.0833,15,4
11/22/09,871958.3333,14.86458333,4.03125
11/23/09,816291.6667,14.47916667,3.958333333
11/24/09,783989.5833,14,3.927083333
11/25/09,812520.8333,14,3.96875
11/26/09,792239.5833,14,3.947916667
11/27/09,752427.0833,14,3.572916667
11/28/09,718531.25,13.98958333,3.197916667
11/29/09,710364.5833,14,3.125
11/30/09,734437.5,13.9375,3.375
12/1/09,707604.1667,14.03125,3.21875
12/2/09,742354.1667,14.23958333,3.53125
12/3/09,718489.5833,13.44791667,3.375
12/4/09,676958.3333,13.30208333,3.010416667
12/5/09,657166.6667,13.19791667,3.020833333
12/6/09,597593.75,12.6875,2.989583333
12/7/09,572136.8421,12.46315789,2.947368421
12/8/09,565052.0833,12.875,2.875
12/9/09,590531.25,12.09375,3
12/10/09,569416.6667,12,2.90625
12/11/09,546968.75,12.01041667,2.6875
12/12/09,558000,12.28125,2.854166667
12/13/09,574343.75,12.10416667,2.9375
12/14/09,570479.1667,12.16666667,2.84375
12/15/09,612802.0833,12.375,2.958333333
12/16/09,633520.8333,12.70833333,3
12/17/09,641385.4167,13.10416667,3
12/18/09,716364.5833,13.51041667,3.395833333
12/19/09,733333.3333,13.30208333,3.53125
12/20/09,712260.4167,13.28125,3.3125
12/21/09,700666.6667,13.21875,3.114583333
12/22/09,703416.6667,14,3.010416667
12/23/09,703885.4167,14,3.041666667
12/24/09,721072.9167,14.4375,3.229166667
12/25/09,796739.5833,14.02083333,3.916666667
12/26/09,730760.4167,14,3.322916667
12/27/09,770062.5,14,3.760416667
12/28/09,761864.5833,13.97916667,3.729166667
12/29/09,750906.25,14,3.520833333
12/30/09,750604.1667,14.19791667,3.520833333
12/31/09,804687.5,14.375,3.864583333
1/1/10,847520.8333,14.36458333,3.989583333
1/2/10,838375,14.42708333,3.979166667
1/3/10,858020.8333,14.41666667,4.03125
1/4/10,914072.9167,14.375,4.333333333
1/5/10,919343.75,14.08333333,4.354166667
1/6/10,859187.5,14.39583333,4.083333333
1/7/10,906468.75,14.82291667,4.416666667
1/8/10,980854.1667,14.51041667,4.90625
1/9/10,982427.0833,14.48958333,4.96875
1/10/10,954229.1667,14.14583333,4.708333333
1/11/10,862489.1304,14,4.086956522
1/12/10,871687.5,13.98958333,4.125
1/13/10,801510.4167,13.63541667,3.833333333
1/14/10,733260.4167,13.35416667,3.40625
1/15/10,670208.3333,13.27083333,3
1/16/10,647781.25,13.45833333,3
1/17/10,668406.25,12.61458333,3
1/18/10,590552.0833,12.02083333,3
1/19/10,561927.0833,12,2.958333333
1/20/10,524500,11.98958333,2.260416667
1/21/10,521791.6667,11.75,2.291666667
1/22/10,516895.8333,11,2.260416667
1/23/10,484812.5,11.32291667,2
1/24/10,525125,11.35416667,2.46875
1/25/10,552645.8333,11.01041667,2.760416667
1/26/10,541843.75,11.125,2.59375
1/27/10,535583.3333,11.30208333,2.489583333
1/28/10,567375,11.67708333,2.791666667
1/29/10,595468.75,12.33333333,2.947916667
1/30/10,733989.5833,12.625,3.583333333
1/31/10,722593.75,13,3.34375
2/1/10,737895.8333,13.96875,3.479166667
2/2/10,821437.5,14,4
2/3/10,811770.8333,14,3.916666667
2/4/10,842916.6667,14.5,3.979166667
2/5/10,944958.3333,15,4.5625
2/6/10,975062.5,14.70833333,4.854166667
2/7/10,954541.6667,14.94791667,4.6875
2/8/10,882864.5833,15,4.03125
2/9/10,1048520.833,15,4.90625
2/10/10,1042510.417,15,4.989583333
2/11/10,992958.3333,15,4.875
2/12/10,1083812.5,15.44791667,5.0625
2/13/10,1041020.833,15.42708333,4.895833333
2/14/10,974635.4167,15.32291667,4.739583333
2/15/10,1118177.083,15.10416667,5.260416667
2/16/10,1081354.167,15,5.03125
2/17/10,1072437.5,15,5.083333333
2/18/10,987843.75,15,4.791666667
2/19/10,988468.75,15,4.854166667
2/20/10,953447.9167,15.02083333,4.520833333
2/21/10,922593.75,15.08333333,4.135416667
2/22/10,996031.25,15,4.791666667
2/23/10,1024562.5,15,4.979166667
2/24/10,1019156.25,14.98958333,4.989583333
2/25/10,927000,14.45833333,4.479166667
2/26/10,862968.75,14.14583333,4.020833333
2/27/10,913843.75,14.03125,4.479166667
2/28/10,808458.3333,14,4
3/1/10,777916.6667,13.97916667,3.708333333
3/2/10,850437.5,13.77083333,4
3/3/10,807625,13.09375,3.979166667
3/4/10,760812.5,13.02083333,3.65625
3/5/10,762239.5833,13.02083333,3.760416667
3/6/10,729052.0833,13.01041667,3.479166667
3/7/10,693083.3333,13,3.197916667
3/8/10,659302.0833,13,3.135416667
3/9/10,625447.9167,13,3
3/10/10,605697.9167,13,2.989583333
3/11/10,599895.8333,13,2.989583333
3/12/10,633666.6667,12.30208333,3
3/13/10,601239.5833,12,2.90625
3/14/10,567541.6667,11.8125,2.958333333
3/15/10,566593.75,11.02083333,2.958333333
3/16/10,556781.25,11,2.875
3/17/10,547000,11,2.791666667
3/18/10,545031.25,11,2.760416667
3/19/10,525052.0833,11.03125,2.385416667
3/20/10,534260.4167,11.58333333,2.479166667
3/21/10,636552.0833,12,2.989583333
3/22/10,643552.0833,11.78125,3
3/23/10,603520.8333,12.28125,2.989583333
3/24/10,627531.25,12.47916667,3
3/25/10,681687.5,13,3.15625
3/26/10,727114.5833,13.14583333,3.572916667
3/27/10,658708.3333,13.875,3
3/28/10,781229.1667,14,3.84375
3/29/10,794354.1667,14,3.895833333
3/30/10,738572.9167,14,3.40625
3/31/10,761156.25,14,3.635416667
4/1/10,771614.5833,14,3.8125
4/2/10,773364.5833,14.48958333,3.791666667
4/3/10,824229.1667,14.46875,4
4/4/10,820385.4167,14.57291667,4.010416667
4/5/10,831843.75,14.55208333,4
4/6/10,833197.9167,14.60416667,4
4/7/10,830281.25,14.91666667,4
4/8/10,918583.3333,14.72916667,4.40625
4/9/10,863875,14.86458333,4.020833333
4/10/10,842447.9167,14.94791667,4.020833333
4/11/10,853250,14.72916667,4.03125
4/12/10,836333.3333,14.5,4
4/13/10,822604.1667,14.76041667,3.989583333
4/14/10,815302.0833,14.66666667,3.958333333
4/15/10,799354.1667,14.60416667,3.770833333
4/16/10,794614.5833,14.36458333,3.78125
4/17/10,772156.25,14,3.697916667
4/18/10,787104.1667,14,3.833333333
4/19/10,774979.1667,14,3.822916667
4/20/10,738635.4167,13.97916667,3.447916667
4/21/10,694666.6667,13.5625,3.114583333
4/22/10,648479.1667,13,3.010416667
4/23/10,614083.3333,13.01041667,3
4/24/10,596208.3333,13.03125,2.979166667
4/25/10,608822.9167,12.6875,3
4/26/10,585083.3333,12,2.979166667
4/27/10,553697.9167,11.69791667,2.8125
4/28/10,505479.1667,11,2.125
4/29/10,485458.3333,11,2.020833333
4/30/10,475906.25,10.98958333,2
5/1/10,463093.75,10.9375,2
5/2/10,468312.5,10.80208333,2
5/3/10,459322.9167,10.38541667,2
5/4/10,471718.75,10.44791667,2
5/5/10,487697.9167,10.64583333,2.03125
5/6/10,501479.1667,11,2.104166667
5/7/10,534177.0833,11,2.552083333
5/8/10,595854.1667,11.04166667,3
5/9/10,608562.5,12,3
5/10/10,636916.6667,12,3
5/11/10,655572.9167,12.80208333,3
5/12/10,657031.25,13,3
5/13/10,671614.5833,13.41666667,3
5/14/10,686781.25,13.8125,3.03125
5/15/10,721833.3333,14.01041667,3.302083333
5/16/10,740239.5833,14.39583333,3.34375
5/17/10,752937.5,14.47916667,3.53125
5/18/10,769322.9167,14.60416667,3.708333333
5/19/10,775395.8333,14.63541667,3.71875
5/20/10,778312.5,14.95833333,3.854166667
5/21/10,800104.1667,15,3.979166667
5/22/10,815572.9167,15,3.96875
5/23/10,833156.25,15,4
5/24/10,870437.5,15,4.010416667
5/25/10,872177.0833,15,4.010416667
5/26/10,878041.6667,15,4.020833333
5/27/10,879520.8333,15,4.041666667
5/28/10,875625,15,4.010416667
5/29/10,853572.9167,15.0625,3.989583333
5/30/10,857437.5,15.02083333,4
5/31/10,852895.8333,15,4
6/1/10,823000,15,3.96875
6/2/10,832833.3333,15,3.989583333
6/3/10,819968.75,15,3.979166667
6/4/10,815302.0833,15,3.979166667
6/5/10,807208.3333,15,3.947916667
6/6/10,812729.1667,15,3.96875
6/7/10,793989.5833,14.98958333,3.895833333
6/8/10,762947.9167,14.6875,3.6875
6/9/10,728541.6667,14.32291667,3.322916667
6/10/10,699416.6667,14,3.09375
6/11/10,657552.0833,13.94791667,3
6/12/10,626468.75,13.58333333,3
6/13/10,611729.1667,13,3
6/14/10,598947.9167,12.98958333,2.989583333
6/15/10,584010.4167,12.55208333,2.96875
6/16/10,571177.0833,12,2.90625
6/17/10,559854.1667,12,2.802083333
6/18/10,562604.1667,11.98958333,2.927083333
6/19/10,561958.3333,11.96875,2.895833333
6/20/10,550833.3333,11.97916667,2.75
6/21/10,558000,11.98958333,2.875
6/22/10,555458.3333,12,2.770833333
6/23/10,554354.1667,12,2.770833333
6/24/10,557322.9167,12,2.822916667
6/25/10,563791.6667,12,2.875
6/26/10,573260.4167,12.30208333,2.90625
6/27/10,573239.5833,12.59375,2.927083333
6/28/10,590270.8333,12.80208333,2.9375
6/29/10,582531.25,12.92708333,2.916666667
6/30/10,590625,12.98958333,2.958333333
7/1/10,593218.75,13,3
7/2/10,586468.75,12.98958333,2.989583333
7/3/10,575958.3333,13,2.916666667
7/4/10,581510.4167,13,2.989583333
7/5/10,584656.25,13,3
7/6/10,585031.25,13,2.979166667
7/7/10,582729.1667,13,2.947916667
7/8/10,590760.4167,13,2.979166667
7/9/10,596510.4167,13,3
7/10/10,609031.25,13,2.979166667
7/11/10,609354.1667,12.98958333,2.989583333
7/12/10,598239.5833,12.89583333,2.96875
7/13/10,594531.25,12.64583333,3
7/14/10,593062.5,12.3125,2.979166667
7/15/10,599343.75,12.01041667,2.947916667
7/16/10,575385.4167,12.01041667,2.927083333
7/17/10,560239.5833,12,2.84375
7/18/10,572645.8333,12.01041667,2.96875
7/19/10,563822.9167,12,2.885416667
7/20/10,555531.25,12.125,2.760416667
7/21/10,545083.3333,12,2.5625
7/22/10,545119.5652,12.02173913,2.619565217
7/23/10,561177.0833,12.25,2.833333333
7/24/10,585072.9167,12.10416667,2.989583333
7/25/10,555302.0833,12.25,2.666666667
7/26/10,541947.9167,12,2.552083333
7/27/10,540656.25,11.78125,2.583333333
7/28/10,523906.25,11.11458333,2.3125
7/29/10,549583.3333,11,2.875
7/30/10,553406.25,11,2.864583333
7/31/10,542937.5,11,2.71875
8/1/10,526531.25,11,2.40625
8/2/10,523864.5833,11,2.364583333
8/3/10,517927.0833,11,2.197916667
8/4/10,533093.75,11,2.5
8/5/10,535531.25,11.07291667,2.53125
8/6/10,516270.8333,11.02083333,2.260416667
8/7/10,516416.6667,11,2.302083333
8/8/10,516614.5833,11,2.260416667
8/9/10,509729.1667,11,2.25
8/10/10,493125,10.97916667,2.09375
8/11/10,505729.1667,11,2.1875
8/12/10,521552.0833,11,2.34375
8/13/10,514625,11,2.25
8/14/10,481656.25,10.48958333,2.041666667
8/15/10,496791.6667,10.39583333,2.125
8/16/10,497385.4167,10,2.09375
8/17/10,484531.25,10.28125,2.041666667
8/18/10,475302.0833,10.125,2
8/19/10,484541.6667,10.01041667,2.09375
8/20/10,476010.4167,10.01041667,2.010416667
8/21/10,530218.75,9.854166667,2.635416667
8/22/10,557229.1667,9.53125,2.958333333
8/23/10,531114.5833,9.322916667,2.708333333
8/24/10,532406.25,9.260416667,2.739583333
8/25/10,499406.25,9.520833333,2.197916667
8/26/10,461833.3333,9.552083333,2.010416667
8/27/10,423239.5833,9.989583333,2
8/28/10,420833.3333,10,2
8/29/10,425270.8333,10,2
8/30/10,427458.3333,10,2
8/31/10,431822.9167,10,2
9/1/10,425520.8333,10.16666667,2
9/2/10,420447.9167,10.16666667,2
9/3/10,419302.0833,9.697916667,2
9/4/10,417927.0833,9.65625,2
9/5/10,403489.5833,9.510416667,2
9/6/10,390250,9.4375,1.989583333
9/7/10,390041.6667,9.020833333,1.989583333
9/8/10,371739.5833,9,1.979166667
