journal,count
Genome biology and evolution,12
IIE Transactions,12
Johnson School Research Paper Series,12
Journal of Applied Polymer Science,12
Journal Of Biomechanical Engineering-Transactions Of The ASME,12
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,12
JOURNAL OF COMPUTATIONAL PHYSICS,12
JOURNAL OF ECONOMETRICS,12
JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,12
Journal of Photopolymer Science and Technology,12
JOURNAL OF THE ATMOSPHERIC SCIENCES,12
Journal of thermal biology,12
Journal of Wildlife Management,12
Journal Water Pollution Control Federation,12
LWT - Food Science and Technology,12
Mathematical Programming Series B,12
Molecular genetics and genomics : MGG,12
MRS Bulletin,12
Mycological Research,12
NEW JOURNAL OF PHYSICS,12
Plant Health Progress,12
PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,12
Protein engineering design & selection : PEDS,12
Protein science : a publication of the Protein Society,12
Public Health Nutrition,12
Queueing Systems,12
Radiology,12
REVIEW OF ECONOMICS AND STATISTICS,12
Reviews of Geophysics,12
Systematic Biology,12
Tectonophysics,12
The Journal of Physical Chemistry,12
Transportation Research Record: Journal of the Transportation Research Board,12
Trends in genetics : TIG,12
Weed Technology,12
Archives of Insect Biochemistry and Physiology,11
Biochemical Systematics and Ecology,11
Biocontrol Science and Technology,11
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,11
Carbohydrate Research,11
Chemical Engineering Science,11
COMMUNICATION RESEARCH,11
Electronics Letters,11
European Journal of Biochemistry,11
FREE RADICAL BIOLOGY AND MEDICINE,11
Hydrology and earth system sciences,11
Ieee Photonics Technology Letters,11
IEEE Transactions on Communications,11
Integrative and Comparative Biology,11
Interfaces,11
International Journal of Food Properties,11
Journal of biomechanics,11
Journal of Entomological Science,11
Journal of Environmental Economics and Management,11
Journal of Health Communication,11
Journal of Microbiological Methods,11
Journal of morphology,11
Journal of Phytopathology,11
JOURNAL OF PUBLIC ECONOMICS,11
Journal of Structural Geology,11
JOURNAL OF THE NEW YORK ENTOMOLOGICAL SOCIETY,11
Journal of Tropical Ecology,11
Journal of undergraduate neuroscience education : JUNE : a publication of FUN Faculty for Undergraduate Neuroscience,11
Microscopy and microanalysis : the official journal of Microscopy Society of America Microbeam Analysis Society Microscopical Society of Canada,11
Mol Cell Proteomics,11
Molecular Plant Pathology,11
Nature Nanotechnology,11
Nutrition research (New York N.Y.),11
ORGANIZATION SCIENCE,11
Philosophical Transactions of the Royal Society A: Mathematical Physical and Engineering Sciences,11
Plant and Cell Physiology,11
Psychological Science,11
Stochastic Models,11
The Astronomical Journal,11
The Journal of Business,11
The Science of the total environment,11
Thin Solid Films,11
Ultramicroscopy,11
Weed Research,11
ADVANCED FUNCTIONAL MATERIALS,10
American Entomologist,10
Annales Geophysicae,10
Apidologie,10
Applied Soil Ecology,10
Archives of microbiology,10
ASTROPHYSICAL JOURNAL LETTERS,10
Australasian Plant Pathology,10
Automation,10
Biopolymers,10
Cell cycle (Georgetown Tex.),10
Chemical Physics Letters,10
Coastal Engineering,10
Current Opinion in Neurobiology,10
Electrophoresis,10
eLife,10
Food and Bioproducts Processing,10
Fruit Varieties Journal,10
Fungal genetics and biology : FG & B,10
Health Communication,10
Human Genetics,10
IEEE Journal of Quantum Electronics,10
IEEE Journal of Solid-State Circuits,10
IEEE Journal on Selected Areas in Communications,10
IEEE Signal Processing Letters,10
IEEE Signal Processing Magazine,10
Inorganic Chemistry,10
International Economic Review,10
International Journal of Climatology,10
International Journal of Food Science and Technology,10
Journal of Agricultural and Resource Economics,10
Journal of Agricultural Engineering Research,10
Journal of Applied Crystallography,10
JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,10
Journal of Applied Microbiology,10
JOURNAL OF BEHAVIORAL DECISION MAKING,10
Journal of controlled release : official journal of the Controlled Release Society,10
Journal of Cosmology and Astroparticle Physics,10
Journal of Development Economics,10
Journal of Economic Perspectives,10
Journal of lightwave technology : a joint IEEE/OSA publication,10
Journal of Magnetic Resonance Imaging,10
Journal of magnetic resonance imaging : JMRI,10
Journal of Materials Chemistry,10
Journal of Microelectromechanical Systems,10
JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY,10
Journal of the American Oil Chemists Society,10
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,10
Journal of the Royal Society Interface / the Royal Society,10
Journal of Wildlife Diseases,10
Lucks JB Nelson DR Kudla GR Plotkin JB (2008) Genome Landscapes and Bacteriophage Codon Usage. PLoS Computational Biology 4(2): e1000001,10
MARKETING LETTERS,10
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,10
Mechanics Research Communications,10
Nature Chemical Biology,10
Naval Research Logistics,10
Neuroscience,10
Nutrition Reviews,10
Oceanography,10
Organizational Behavior and Human Decision Processes,10
PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,10
Physics Letters B,10
REVIEW OF FINANCE,10
RNA (New York N.Y.),10
Soil and Tillage Research,10
South Atlantic Quarterly,10
Strategic Management Journal,10
The Biological bulletin,10
The Journal of comparative neurology,10
The Journal of endocrinology,10
Transport in Porous Media,10
Vision research,10
Weather and Forecasting,10
Aci Materials Journal,9
Acta crystallographica. Section D Biological crystallography,9
ADVANCES IN CONSUMER RESEARCH VOL 23,9
American Journal of Physiology-Regulatory Integrative and Comparative Physiology,9
Annals of Biomedical Engineering,9
Annual Review of Ecology Evolution and Systematics,9
ANNUAL REVIEW OF GENETICS VOL 45,9
BEHAVIORAL AND BRAIN SCIENCES,9
Behaviour,9
Biochimica et Biophysica Acta (BBA) - Gene Structure and Expression,9
BioEssays : news and reviews in molecular cellular and developmental biology,9
Biotechniques,9
Biotropica,9
BMC Plant Biology,9
Brittonia,9
California Agriculture,9
Choices (Milwaukee),9
Cold Spring Harbor symposia on quantitative biology,9
Composites Science and Technology,9
Computers & Operations Research,9
Current Opinion of Microbiology,9
Electronic Journal of Statistics,9
Engineering Fracture Mechanics,9
Eos Transactions American Geophysical Union,9
Experiments in Fluids,9
Food Science & Biotechnology (Korea),9
Human Molecular Genetics,9
IEEE journal of selected topics in quantum electronics : a publication of the IEEE Lasers and Electro-optics Society,9
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,9
IEEE Transactions on Plasma Science,9
International Journal of Systematic and Evolutionary Microbiology,9
International Society of Microbial Ecology Journal,9
Journal of Applied Animal Research,9
Journal of Applied Ecology,9
Journal of Chromatography A,9
Journal of Communication,9
Journal of Environmental Management,9
Journal of Food Process Engineering,9
Journal of Forestry,9
Journal of Low Temperature Physics,9
Journal of Monetary Economics,9
Journal of natural products,9
Journal of Plant Nutrition,9
Journal of Plant Physiology,9
Journal of structural biology,9
Journal of the American Society for Information Science and Technology,9
Macromolecular Chemistry and Physics,9
Maternal and Child Nutrition,9
Nanophase and Nanocomposite Materials II,9
Nanoscale,9
Natural Resources Forum,9
Neuron,9
Neurotoxicology and Teratology,9
Pest Management Science,9
Physical chemistry chemical physics : PCCP,9
Plant Ecology,9
Plant Systematics and Evolution,9
Probabilistic Engineering Mechanics,9
Review of Development Economics,9
REVIEW OF PALAEOBOTANY AND PALYNOLOGY,9
Seed Science and Technology,9
Sensors and Actuators A: Physical,9
Systematic Entomology,9
The Coleopterists Bulletin,9
The Journal of Horticultural Science and Biotechnology,9
Tissue Engineering,9
Accounting Organizations and Society,8
Advances in Nutrition,8
Annual Review of Financial Economics,8
Applied Economics Letters,8
Ardea,8
Biogeosciences,8
Biological Invasions,8
Biomedical Microdevices,8
Bird Study,8
Brain Behavior and Evolution,8
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,8
Cancer Research,8
Cement and Concrete Research,8
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,8
Comprehensive Reviews in Food Science and Food Safety,8
Contributions to Mineralogy and Petrology,8
Current Microbiology,8
Demography,8
ECONOMETRICA,8
Energy and Environmental Science,8
Energy Policy,8
Entomophaga,8
EPL (Europhysics Letters),8
European Review of Agricultural Economics,8
Evolution and Development,8
Extremes,8
Fisheries,8
Food Protection Trends,8
Genetica,8
Geoderma,8
Hormones and behavior,8
Human Computer Interaction,8
IEEE transactions on bio-medical engineering,8
IEEE Transactions on Circuits and Systems,8
Infection and Immunity,8
International Journal of Heat and Mass Transfer,8
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,8
International Journal of Theoretical and Applied Finance,8
International Labour Review,8
International Organisation for Biological Control,8
Internationale Vereinigung f�_r Theoretische und Angewandte Limnologie Verhandlungen,8
JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,8
Journal of Advertising Research,8
Journal of Agricultural and Applied Economics,8
Journal of Agricultural Economics,8
Journal of Applied Meteorology,8
Journal of Applied Nonlinear Dynamics,8
Journal of Avian Biology,8
Journal of Biogeography,8
Journal of Development Studies,8
Journal of Financial Intermediation,8
Journal of Fluids and Structures,8
Journal of Food Biochemistry,8
Journal of Horticultural Science,8
Journal of immunology (Baltimore Md. : 1950),8
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,8
Journal of Language and Social Psychology,8
Journal of orthopaedic research : official publication of the Orthopaedic Research Society,8
Journal of Political Economy,8
Journal of Production Agriculture,8
JOURNAL OF RHEOLOGY,8
JOURNAL OF STRUCTURAL ENGINEERING-ASCE,8
JOURNAL OF THE AMERICAN CERAMIC SOCIETY,8
Journal of the Kansas Entomological Society,8
Journal of the Royal Statistical Society: Series B (Statistical Methodology),8
Journal of visualized experiments : JoVE,8
Landscape and Urban Planning,8
Macromolecular Rapid Communications,8
Microelectronic Engineering,8
Mol. Sim. special issue,8
Molecular Ecology Notes 3,8
Nature Geoscience,8
Nature Physics,8
Nature Reviews Molecular Cell Biology,8
Northeastern Journal of Agricultural and Resource Economics,8
Nutrition journal,8
Oncogene,8
Palaeogeography Palaeoclimatology Palaeoecology,8
Paleobiology,8
Plant Signaling and Behavior,8
PLoS Pathogens,8
Population Studies,8
Proceedings of the IEEE,8
Public understanding of science (Bristol England),8
The Annals of Statistics,8
The British journal of nutrition,8
The Journal of Derivatives,8
The Journal of Geology,8
The Journal of Microwave Power and Electromagnetic Energy,8
The Journal of Portfolio Management,8
Trends in Microbiology,8
ACS Applied Materials and Interfaces,7
AgBioForum,7
American Journal of Primatology,7
American Journal of Veterinary Research,7
AMERICAN POTATO JOURNAL,7
American Scientist,7
Annals of Applied Biology,7
ANNALS OF THE MISSOURI BOTANICAL GARDEN,7
Annual Review of Nutrition,7
Anthropology and Education Quarterly,7
Archives of Virology,7
Bioinformatics (Oxford England),7
Biology and Fertility of Soils,7
Biomedical optics express,7
Callaloo,7
Cell Reports,7
Chemical Geology,7
Chemical Senses,7
Chemoecology,7
China Economic Review,7
Climate Dynamics,7
Cognitive Science: A Multidisciplinary Journal,7
Combustion and Flame,7
Computer methods in applied mechanics and engineering,7
Cytogenetic and Genome Research,7
Decision Support Systems,7
Development and Change,7
Developmental Psychobiology,7
Diacritics,7
Economic Geology and the Bulletin of the Society of Economic Geologists,7
Environmental Education Research,7
Environmental Geochemistry of Sulfide Oxidation,7
Environmental Health Perspectives,7
Environmental Management,7
Enzyme and Microbial Technology,7
EUROPEAN ECONOMIC REVIEW,7
European Journal of Clinical Nutrition,7
Evolutionary Ecology Research,7
EXPERIMENTAL AND APPLIED ACAROLOGY,7
Experimental Cell Research,7
Experimental Mechanics,7
Finance and Stochastics,7
Food and nutrition bulletin,7
Food Microbiology,7
Food Security,7
Forage and Grazinglands,7
Frontiers in Plant Biophysics and Modeling,7
G3&amp;
